Entity,Code,Year,Renewables per capita (kWh)
Austria,AUT,2011,13.239004000000001
Austria,AUT,2012,16.215726
Austria,AUT,2013,15.696877
Austria,AUT,2014,15.518506
Austria,AUT,2015,14.689515
Austria,AUT,2016,15.358388000000001
Austria,AUT,2017,15.106749
Austria,AUT,2018,14.624099000000001
Austria,AUT,2019,15.679611000000001
Azerbaijan,AZE,1985,0.546956
Azerbaijan,AZE,1986,0.32958499999999996
Azerbaijan,AZE,1987,0.32413400000000003
Azerbaijan,AZE,1988,0.276694
Azerbaijan,AZE,1989,0.272152
Azerbaijan,AZE,1990,0.6358630000000001
Azerbaijan,AZE,1991,0.664168
Azerbaijan,AZE,1992,0.649574
Azerbaijan,AZE,1993,0.8888020000000001
Azerbaijan,AZE,1994,0.661548
Azerbaijan,AZE,1995,0.555913
Azerbaijan,AZE,1996,0.543463
Azerbaijan,AZE,1997,0.5999950000000001
Azerbaijan,AZE,1998,0.678279
Azerbaijan,AZE,1999,0.519411
Azerbaijan,AZE,2000,0.524574
Azerbaijan,AZE,2001,0.438017
Azerbaijan,AZE,2002,0.669169
Azerbaijan,AZE,2003,0.804829
Azerbaijan,AZE,2004,0.8826849999999999
Azerbaijan,AZE,2005,0.9479930000000001
Azerbaijan,AZE,2006,0.7798970000000001
Azerbaijan,AZE,2007,0.719782
Azerbaijan,AZE,2008,0.667868
Azerbaijan,AZE,2009,0.679236
Azerbaijan,AZE,2010,0.995025
Azerbaijan,AZE,2011,0.7581720000000001
Azerbaijan,AZE,2012,0.5062559999999999
Azerbaijan,AZE,2013,0.424943
Azerbaijan,AZE,2014,0.372634
Azerbaijan,AZE,2015,0.456793
Azerbaijan,AZE,2016,0.543628
Azerbaijan,AZE,2017,0.480155
Azerbaijan,AZE,2018,0.49220800000000003
Azerbaijan,AZE,2019,0.44954000000000005
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0.007296
Bangladesh,BGD,1973,0.013594
Bangladesh,BGD,1974,0.009819000000000001
Bangladesh,BGD,1975,0.017285000000000002
Bangladesh,BGD,1976,0.019151
Bangladesh,BGD,1977,0.016524
Bangladesh,BGD,1978,0.018629000000000003
Bangladesh,BGD,1979,0.021032000000000002
Bangladesh,BGD,1980,0.020335000000000002
Bangladesh,BGD,1981,0.021232
